Crop,Germination,Vegetative growth,Reproductive growth,,,
rice,"Urea, CAN","Urea, CAN, MAP",Urea,,,
maize,"Urea, CAN, DAP","Urea, CAN, MAP","Urea, MOP",,,
blackgram,"Urea, CAN","Urea, CAN, DAP","Urea, MOP",,,
mungbean,"Urea, CAN","Urea, CAN, DAP","Urea, MOP",,,
cotton,"Urea, CAN","Urea, CAN, DAP, K2SO4, MgSO4","Urea, MOP, K2SO4, MgSO4",,,
coffee,"Urea, CAN","Urea, CAN, DAP, K2SO4, MgSO4","Urea, MOP, K2SO4, MgSO4, CAN",,,
jute,"Urea, CAN","Urea, CAN, DAP, K2SO4, MgSO4","Urea, MOP, K2SO4, MgSO4",,,
coconut,"Urea, CAN","Urea, CAN, DAP, K2SO4, MgSO4, Boron","Urea, MOP, K2SO4, MgSO4, Boron",,,
kidneybeans,"Urea, CAN","Urea, CAN, DAP, ZnSO4","Urea, MOP, ZnSO4",,,
chickpea,"Urea, CAN","Urea, CAN, DAP, ZnSO4","Urea, MOP, ZnSO4",,,
pigeonpeas,"Urea, CAN","Urea, CAN, DAP, ZnSO4","Urea, MOP, ZnSO4",,,
lentil,"Urea, CAN","Urea, CAN, DAP, ZnSO4","Urea, MOP, ZnSO4",,,
